#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
40,Vertiginous Golf,5/6/2015,$9.99,N/A (63%),"14,518 ±3,577",01:04 (00:42)
41,Chess 2: The Sequel,8/19/2014,$4,N/A (62%),"10,831 ±3,089",48:05 (00:24)
44,Jet Car Stunts,5/1/2014,$3.49,N/A (57%),"25,349 ±4,726",01:38 (01:05)
45,Speedball 2 HD,12/5/2013,$0.99,N/A (53%),"134,813 ±10,897",02:32 (01:39)
46,Lords of Football,4/5/2013,$7.49,N/A (52%),"42,172 ±6,096",05:48 (01:44)
47,Cabela's� Hunting Expeditions,10/22/2012,$14.69,N/A (N/A),"7,605 ±2,589",04:18 (04:38)
48,Smash Cars,10/18/2011,$9.99,N/A (N/A),"6,913 ±2,468",04:19 (04:42)
49,Football Tactics,6/1/2015,$11.04,N/A (N/A),"1,131 ±1,566",04:43 (06:36)
50,STARWHAL,9/29/2014,$5.99,N/A (N/A),"28,576 ±5,018",03:46 (01:40)
51,Pro Wrestling X,11/18/2014,$9.99,N/A (N/A),"1,002 ±1,131",00:02 (00:02)
52,MXGP - The Official Motocross Videogame Compact,12/3/2014,$9.99,N/A (N/A),"1,383 ±1,103",05:11 (07:30)
53,Fast & Furious: Showdown,5/21/2013,$14.69,N/A (N/A),"14,288 ±3,548",18:51 (02:47)
56,IHF Handball Challenge 14,3/28/2014,$3.99,N/A (N/A),"5,070 ±2,113",19:13 (15:56)
57,Front Page Sports Football,10/2/2014,$1.99,N/A (N/A),"6,222 ±2,341",03:08 (03:59)
58,rFactor,3/2/2015,$24.99,N/A (N/A),"4,148 ±1,912",04:30 (00:45)
59,FootLOL: Epic Fail League,4/16/2014,$2.49,N/A (N/A),"29,728 ±5,118",02:00 (01:31)
60,International Snooker,5/30/2014,$6.49,N/A (N/A),"26,041 ±4,790",19:07 (02:25)
62,Racing Manager 2014,12/6/2013,$4.99,N/A (N/A),"15,671 ±3,716",05:36 (01:57)
63,MX vs. ATV Supercross Encore,3/5/2015,$22.49,N/A (N/A),"3,226 ±1,686",05:44 (03:22)
64,Quantum Rush Champions,12/4/2014,$6.99,N/A (N/A),"7,374 ±2,549",01:48 (02:09)
65,Corona MotorSport,3/13/2015,$5.49,N/A (N/A),"2,996 ±1,625",00:23 (00:07)
67,FX Football - The Manager for Every Football Fan,6/2/2014,$2.99,N/A (N/A),"17,745 ±3,954",06:04 (02:02)
