#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
92,DARK BLOOD ONLINE,7/22/2014,Free,66% (N/A),"341,756 ±17,343",08:54 (00:36)
39,Dragon's Prophet,9/23/2013,Free,65% (63%),"97,480 ±9,267",15:41 (02:59)
58,The Four Kings Casino and Slots,6/1/2015,Free,65% (N/A),"61,530 ±7,363",04:26 (00:34)
121,Miscreated,10/30/2014,$9.49,65% (N/A),"54,386 ±6,922",03:21 (01:52)
62,Ragnarok Online 2,5/1/2013,Free,64% (N/A),"736,286 ±25,436",28:06 (01:34)
124,March of War,6/10/2014,Free,64% (N/A),"504,454 ±21,064",12:14 (00:51)
34,Prime World,3/31/2014,Free,63% (65%),"355,814 ±17,696",36:44 (01:37)
84,Panzar,11/25/2013,Free,63% (N/A),"592,716 ±22,829",09:07 (01:45)
72,La Tale,6/17/2014,Free,62% (N/A),"485,787 ±20,672",04:02 (00:33)
79,Champions of Regnum,2/27/2013,Free,62% (N/A),"237,363 ±14,457",15:25 (00:48)
104,8BitMMO,1/26/2015,Free,62% (N/A),"617,835 ±23,306",01:29 (00:15)
141,City of Steam: Arkadia,3/6/2014,Free,62% (N/A),"229,297 ±14,209",10:45 (00:42)
12,ArcheAge,3/26/2015,Free,61% (80%),"475,878 ±20,460",38:03 (02:37)
158,Landmark,5/13/2014,Free,60% (N/A),"98,171 ±9,300",16:47 (04:46)
29,Fallen Earth,2/22/2012,Free,59% (71%),"1,191,654 ±32,329",10:56 (00:53)
33,CrimeCraft GangWars,8/22/2011,Free,56% (68%),"408,356 ±18,956",09:47 (00:21)
35,RaiderZ,1/14/2014,Free,56% (64%),"401,212 ±18,789",05:41 (00:56)
127,Villagers and Heroes,4/17/2014,Free,56% (N/A),"376,785 ±18,209",04:20 (00:26)
65,Beasts of Prey,6/5/2014,$8.54,55% (N/A),"66,600 ±7,660",16:17 (02:44)
126,Football Superstars,11/16/2012,Free,55% (N/A),"288,523 ±15,937",05:31 (00:29)
102,Survarium,4/2/2015,Free,53% (N/A),"1,393,066 ±34,940",02:24 (00:25)
128,Divine Souls,8/15/2014,Free,51% (N/A),"365,032 ±17,924",00:55 (00:13)
42,Nether,6/5/2014,$3.99,49% (57%),"628,666 ±23,509",10:06 (02:59)
43,Infestation: Survivor Stories,12/17/2012,$1.94,48% (20%),"993,928 ±29,537",49:08 (06:40)
50,Navy Field 2 : Conqueror of the Ocean,3/5/2015,Free,48% (N/A),"378,167 ±18,243",03:45 (00:19)
143,School of Dragons: How to Train Your Dragon,12/4/2014,Free,48% (N/A),"698,031 ±24,768",02:53 (00:41)
154,sZone-Online,12/29/2014,Free,48% (N/A),"708,171 ±24,947",01:57 (00:23)
44,Darkfall Unholy Wars,4/25/2013,$14.95,45% (N/A),"1,697 ±1,918",112:04 (168:01)
87,F.E.A.R. Online,10/21/2014,Free,40% (N/A),"919,263 ±28,411",03:14 (00:56)
