#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
112,Solstice Arena,10/15/2013,Free,82% (N/A),"182,285 ±12,670",10:12 (02:10)
137,The Way of Life,12/29/2014,Free,82% (N/A),"456,059 ±20,030",00:10 (00:07)
148,Dead Island: Epidemic,11/20/2014,Free,82% (N/A),"4,775,602 ±64,233",04:18 (00:40)
12,Marvel Heroes 2015,6/3/2013,Free,81% (81%),"2,631,962 ±47,901",34:42 (01:35)
16,Ragnarok,10/31/2013,Free,81% (79%),"284,144 ±15,816",14:48 (00:21)
22,WAKFU,9/18/2014,Free,81% (76%),"683,974 ±24,518",17:38 (01:43)
62,DCS World,8/2/2013,Free,81% (N/A),"756,565 ±25,783",03:35 (00:02)
78,Destination Sol,2/5/2015,Free,81% (N/A),"227,914 ±14,167",00:46 (00:14)
238,Puzzle Pirates,8/31/2011,Free,81% (N/A),"202,795 ±13,364",28:46 (01:16)
11,Realm of the Mad God,2/20/2012,Free,80% (82%),"1,796,814 ±39,648",19:41 (01:33)
66,Ultimate Tic-Tac-Toe,4/28/2015,Free,80% (N/A),"118,681 ±10,225",00:35 (00:11)
94,Dev Guy,5/20/2015,Free,80% (N/A),"127,439 ±10,595",00:29 (00:14)
207,Smashmuck Champions,9/11/2013,Free,80% (N/A),"181,594 ±12,646",03:37 (00:33)
19,Vindictus,6/22/2012,Free,79% (76%),"585,111 ±22,682",43:11 (02:34)
20,Star Trek Online,1/31/2012,Free,79% (76%),"998,307 ±29,602",80:15 (07:23)
32,Champions Online: Free For All,6/14/2011,Free,79% (72%),"429,558 ±19,441",45:56 (04:39)
45,Defiance,6/4/2014,Free,79% (64%),"2,307,950 ±44,886",19:08 (03:08)
53,Dragons and Titans,3/12/2014,Free,79% (43%),"628,666 ±23,509",07:52 (00:40)
109,Battle Islands,8/6/2014,Free,79% (N/A),"377,937 ±18,237",09:33 (00:24)
199,Mabinogi,12/6/2012,Free,79% (N/A),"283,453 ±15,797",82:47 (01:17)
214,C9,9/13/2012,Free,79% (N/A),"350,744 ±17,570",08:10 (00:20)
247,Audition Online,6/3/2015,Free,79% (N/A),"48,164 ±6,515",01:54 (00:21)
42,The Banner Saga: Factions,2/25/2013,Free,78% (67%),"268,474 ±15,374",04:40 (00:46)
9,EverQuest II,12/7/2011,Free,77% (83%),"312,489 ±16,585",33:35 (02:47)
36,Tom Clancy's Ghost Recon Phantoms - NA,4/10/2014,Free,77% (70%),"2,987,546 ±50,996",34:17 (05:59)
37,Global Agenda,6/14/2011,Free,77% (70%),"391,303 ±18,556",63:54 (10:07)
75,Strife�,5/22/2015,Free,77% (N/A),"659,546 ±24,078",05:17 (01:21)
80,Nosgoth,3/26/2014,Free,77% (N/A),"3,044,697 ±51,476",05:30 (00:55)
173,America's Army: Proving Grounds Beta,8/29/2013,Free,77% (N/A),"1,083,803 ±30,838",19:45 (00:35)
198,Amazing World,8/7/2014,Free,77% (N/A),"356,505 ±17,713",02:09 (00:26)
210,Boring Man - Online Tactical Stickman Combat,2/20/2015,Free,77% (N/A),"397,986 ±18,714",01:42 (00:18)
229,SolForge,,Free,77% (N/A),"207,404 ±13,515",58:57 (02:44)
232,Reversion - The Escape,6/10/2014,Free,77% (N/A),"289,444 ±15,963",01:28 (00:55)
233,Dungeons & Dragons Online�,6/25/2012,Free,77% (N/A),"358,579 ±17,765",30:52 (01:16)
43,Dungeonland,11/12/2013,Free,76% (67%),"695,035 ±24,715",02:44 (00:58)
59,MicroVolts Surge,7/5/2012,Free,76% (N/A),"392,916 ±18,594",13:39 (01:36)
95,Grand Chase,7/17/2014,Free,76% (N/A),"421,722 ±19,263",08:01 (00:25)
114,Get Off My Lawn!,11/11/2014,Free,76% (N/A),"228,145 ±14,174",01:23 (00:19)
145,Eldevin,11/5/2014,Free,76% (N/A),"227,684 ±14,159",06:05 (00:25)
150,Happy Wars,7/23/2014,Free,76% (N/A),"1,141,416 ±31,643",04:37 (00:48)
246,Archeblade,4/25/2014,Free,76% (N/A),"1,347,668 ±34,369",05:19 (00:56)
39,Forsaken World,6/14/2011,Free,75% (69%),"204,409 ±13,417",84:16 (02:47)
49,Dragon's Prophet (EU),9/18/2013,Free,75% (63%),"129,513 ±10,681",22:08 (02:02)
106,Infinite Crisis™,3/26/2015,Free,75% (N/A),"789,520 ±26,337",05:13 (00:57)
200,Color Symphony,9/15/2014,Free,75% (N/A),"226,301 ±14,116",00:23 (00:10)
121,FreeStyle2: Street Basketball,4/1/2015,Free,74% (N/A),"1,680,437 ±38,352",09:54 (01:38)
126,Ascend: Hand of Kul,5/20/2014,Free,74% (N/A),"412,965 ±19,062",04:36 (01:20)
186,Pinball Arcade,11/4/2013,Free,74% (N/A),"406,052 ±18,902",05:01 (00:18)
146,Gear Up,1/28/2015,Free,73% (N/A),"1,109,614 ±31,201",02:17 (00:24)
147,Wild Warfare,7/15/2014,Free,73% (N/A),"143,800 ±11,255",00:45 (00:14)
164,Among Ripples,1/22/2015,Free,73% (N/A),"295,667 ±16,133",00:14 (00:06)
167,ACE - Arena: Cyber Evolution,8/18/2014,Free,73% (N/A),"330,004 ±17,043",00:37 (00:16)
21,Super Monday Night Combat,4/19/2012,Free,72% (76%),"838,605 ±27,140",11:38 (00:45)
51,Firefall,7/29/2014,Free,72% (60%),"2,305,876 ±44,866",12:07 (01:25)
70,MapleStory,8/9/2012,Free,72% (N/A),"305,806 ±16,407",44:25 (01:56)
103,Cubic Castles,8/13/2014,Free,72% (N/A),"572,897 ±22,445",06:20 (00:36)
152,Dirty Bomb�,6/1/2015,Free,72% (N/A),"706,788 ±24,923",03:50 (00:54)
193,Anarchy Arcade,9/3/2014,Free,72% (N/A),"395,912 ±18,665",01:33 (00:16)
104,Heroes & Generals,7/11/2014,Free,71% (N/A),"6,363,859 ±73,898",08:48 (00:54)
215,Hazard Ops,10/8/2014,Free,71% (N/A),"353,509 ±17,639",04:48 (00:57)
