#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
931,Total War: SHOGUN 2,3/15/2011,$14.99,94% (N/A),"2,402,204 ±45,785",76:22 (23:36)
1019,Town of Salem,12/15/2014,$2.49,94% (N/A),"89,875 ±8,898",20:15 (09:15)
1072,"Warhammer� 40,000™: Dawn of War� II – Retribution™",2/28/2011,$10.19,94% (N/A),"1,459,205 ±35,754",40:44 (12:16)
1175,Prison Architect,,$4.49,94% (N/A),"1,198,106 ±32,416",20:42 (07:58)
1177,Sunrider: Mask of Arcadius,7/9/2014,Free,94% (N/A),"318,251 ±16,737",04:14 (00:59)
1,Sid Meier's Civilization IV,10/25/2006,$4.99,93% (94%),"1,162,156 ±31,928",17:19 (03:58)
6,Dota 2,7/9/2013,Free,93% (90%),"51,136,716 ±188,391",191:51 (06:04)
10,Empire: Total War,3/3/2009,$9.99,93% (90%),"3,129,963 ±52,182",100:37 (23:25)
19,Europa Universalis IV,8/13/2013,$19.99,93% (87%),"671,529 ±24,295",139:04 (25:39)
33,"Warhammer 40,000: Dawn of War II - Chaos Rising",3/10/2010,$9.99,93% (85%),"1,512,209 ±36,394",21:53 (07:50)
59,Crusader Kings II,2/14/2012,$19.99,93% (82%),"1,061,450 ±30,520",91:01 (10:30)
75,Stronghold 2,10/21/2013,$1.49,93% (81%),"278,844 ±15,668",10:03 (02:28)
76,Stronghold Legends,10/21/2013,$1.49,93% (81%),"278,844 ±15,668",06:33 (01:28)
85,Dungeon Defenders,10/18/2011,$7.49,93% (81%),"1,850,048 ±40,226",43:10 (12:15)
86,Stronghold HD,10/21/2013,$1.49,93% (81%),"715,315 ±25,072",07:42 (01:45)
105,Brütal Legend,2/26/2013,$5.09,93% (80%),"1,023,195 ±29,967",05:27 (03:01)
129,Tropico 4,9/1/2011,$4.99,93% (78%),"1,254,566 ±33,167",22:03 (06:17)
183,R.U.S.E,9/7/2010,$5.99,93% (76%),"587,876 ±22,735",41:07 (09:03)
186,Uplink,8/23/2006,$1.49,93% (75%),"583,959 ±22,660",02:52 (00:41)
212,Rock of Ages,9/7/2011,$0.99,93% (74%),"397,986 ±18,714",02:30 (01:04)
216,Space Pirates and Zombies,8/15/2011,$2.49,93% (74%),"606,312 ±23,088",14:50 (02:55)
238,Arma 2: Operation Arrowhead,6/29/2010,$6.79,93% (73%),"3,556,295 ±55,572",43:00 (03:09)
578,Runestone Keeper,3/23/2015,$7.49,93% (N/A),"29,267 ±5,078",19:36 (11:02)
659,Star Wars: Empire at War Gold,5/25/2010,$19.99,93% (N/A),"851,510 ±27,347",16:40 (03:09)
816,Valkyria Chronicles™,11/11/2014,$9.99,93% (N/A),"414,578 ±19,099",13:53 (04:58)
893,100% Orange Juice,5/16/2014,$2.37,93% (N/A),"131,126 ±10,747",06:16 (02:32)
1187,Craft The World,11/24/2014,$12.72,93% (N/A),"139,422 ±11,082",36:55 (15:58)
16,Rise of Nations: Extended Edition,6/12/2014,$9.99,92% (89%),"320,325 ±16,792",13:54 (04:22)
34,Command and Conquer 3: Tiberium Wars,11/13/2009,$7.49,92% (85%),"325,164 ±16,918",18:17 (06:34)
98,Wargame: AirLand Battle,5/29/2013,$3.99,92% (80%),"430,479 ±19,461",32:41 (05:37)
191,Scribblenauts Unlimited,11/19/2012,$9.99,92% (75%),"1,370,713 ±34,660",07:17 (03:23)
222,Insurgency,1/22/2014,$7.49,92% (74%),"1,682,511 ±38,375",14:37 (04:19)
288,Sanctum,4/15/2011,$3.39,92% (70%),"1,152,477 ±31,796",05:37 (02:28)
503,Clicker Heroes,5/13/2015,Free,92% (N/A),"1,258,945 ±33,224",29:39 (06:46)
542,Gnomoria,,$7.99,92% (N/A),"207,865 ±13,530",30:20 (02:18)
729,Bloons TD5,11/19/2014,$9.99,92% (N/A),"27,884 ±4,957",21:43 (11:41)
785,Bardbarian,4/1/2014,$3.99,92% (N/A),"87,110 ±8,761",04:49 (01:46)
864,Moonbase Alpha,7/6/2010,Free,92% (N/A),"569,210 ±22,372",02:17 (00:46)
20,Divinity: Original Sin,6/30/2014,$29.99,91% (87%),"824,548 ±26,912",35:18 (15:17)
39,Ultimate General: Gettysburg,10/16/2014,$5.99,91% (84%),"74,205 ±8,086",09:56 (02:28)
44,Monaco,4/24/2013,$6.74,91% (83%),"1,222,764 ±32,746",03:40 (01:30)
89,Age of Empires III: Complete Collection,1/5/2012,$13.59,91% (81%),"1,148,329 ±31,739",24:29 (05:07)
118,Dungeon of the Endless,10/27/2014,$8.70,91% (79%),"272,161 ±15,479",11:33 (04:55)
142,Awesomenauts,8/1/2012,$2.49,91% (78%),"1,452,983 ±35,679",25:53 (05:40)
148,Xenonauts,6/16/2014,$16.24,91% (77%),"104,854 ±9,611",32:10 (12:18)
