#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
250,Survival: Postapocalypse Now,4/16/2015,$4.49,76% (N/A),"58,073 ±7,153",07:33 (02:10)
327,Dream,8/13/2013,$10.19,76% (N/A),"58,765 ±7,196",01:38 (00:57)
53,Fractured Space,11/20/2014,$4.99,74% (N/A),"786,985 ±26,294",02:01 (00:20)
116,ACE - Arena: Cyber Evolution,8/18/2014,Free,73% (N/A),"330,004 ±17,043",00:37 (00:16)
125,ARK: Survival Evolved,6/2/2015,$24.89,73% (N/A),"539,943 ±21,791",18:39 (07:02)
367,Wild Warfare,7/15/2014,Free,73% (N/A),"143,800 ±11,255",00:45 (00:14)
295,Anarchy Arcade,9/3/2014,Free,72% (N/A),"395,912 ±18,665",01:33 (00:16)
386,The Repopulation,12/22/2014,$14.99,72% (N/A),"36,872 ±5,700",13:47 (04:24)
6,Interstellar Marines,7/2/2013,$9.49,71% (N/A),"220,771 ±13,943",02:42 (00:46)
299,Heroes & Generals,7/11/2014,Free,71% (N/A),"6,363,859 ±73,898",08:48 (00:54)
360,SNOW,3/2/2014,$9.99,71% (N/A),"52,542 ±6,804",10:17 (02:33)
126,Reign Of Kings,3/11/2015,$11.99,70% (N/A),"303,963 ±16,358",29:22 (12:55)
46,Life is Feudal: Your Own,9/19/2014,$26.79,69% (N/A),"203,717 ±13,394",46:23 (08:48)
234,H1Z1,1/15/2015,$14.99,68% (N/A),"1,226,452 ±32,795",40:04 (14:08)
194,Miscreated,10/30/2014,$9.49,65% (N/A),"54,386 ±6,922",03:21 (01:52)
207,CaesarIA,1/20/2015,Free,65% (N/A),"177,676 ±12,509",01:56 (00:14)
209,FortressCraft Evolved,12/10/2013,$2.24,65% (N/A),"53,695 ±6,878",04:46 (00:50)
215,Folk Tale,5/30/2013,$16.74,65% (N/A),"80,196 ±8,406",04:53 (02:02)
273,Kingdoms Rise,11/18/2013,$14.99,65% (N/A),"54,847 ±6,952",02:38 (00:43)
269,Deadbreed�,7/1/2014,Free,63% (N/A),"309,494 ±16,506",02:29 (01:58)
320,Landmark,5/13/2014,Free,61% (N/A),"98,171 ±9,300",16:47 (04:46)
65,Rise of Incarnates,2/3/2015,Free,59% (N/A),"978,488 ±29,308",00:44 (00:15)
35,Edge of Space,6/28/2013,$7.14,58% (N/A),"160,623 ±11,894",04:41 (01:27)
168,The Fifth Day,7/25/2014,$14.99,58% (N/A),"25,580 ±4,748",03:16 (01:37)
95,BLOCKADE 3D,12/19/2014,Free,57% (N/A),"1,830,459 ±40,014",05:53 (01:09)
413,Red Crucible: Firestorm,5/29/2015,Free,55% (N/A),"259,947 ±15,128",01:13 (00:16)
420,Beasts of Prey,6/5/2014,$8.54,55% (N/A),"66,600 ±7,660",16:17 (02:44)
358,Survarium,4/2/2015,Free,53% (N/A),"1,393,066 ±34,940",02:24 (00:25)
161,The Dead Linger,9/27/2013,$14.99,50% (N/A),"55,077 ±6,966",03:35 (01:40)
185,sZone-Online,12/29/2014,Free,48% (N/A),"708,171 ±24,947",01:57 (00:23)
73,Castle Story,9/23/2013,$16.99,43% (N/A),"170,302 ±12,247",07:47 (02:31)
157,Godus,9/13/2013,$7.99,36% (N/A),"272,622 ±15,492",19:06 (06:51)
2,Armed Tactics,5/20/2015,$17.99,N/A (N/A),668 ±924,12:45 (06:22)
3,Damnation City of Death,3/3/2015,$9.99,N/A (N/A),"8,757 ±2,778",00:29 (00:24)
