#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
45,F1 2012,9/17/2012,$9.99,91% (80%),"305,806 ±16,407",46:27 (10:37)
60,Xenonauts,6/16/2014,$16.24,91% (77%),"104,854 ±9,611",32:10 (12:18)
329,Unholy Heights,10/4/2013,$1.99,91% (N/A),"130,434 ±10,719",04:13 (02:11)
340,The Forest,5/30/2014,$10.04,91% (N/A),"1,319,323 ±34,007",09:09 (05:09)
383,Banished,2/18/2014,$7.99,91% (N/A),"1,077,351 ±30,747",25:12 (11:05)
435,Pool Nation,10/18/2013,$0.99,91% (N/A),"205,330 ±13,447",04:39 (02:22)
682,Viscera Cleanup Detail: Santa's Rampage,12/13/2013,$1.66,91% (N/A),"352,818 ±17,622",02:32 (01:18)
80,Arma 3,9/12/2013,$38.99,90% (74%),"1,790,822 ±39,582",116:34 (31:31)
96,Toy Soldiers,4/27/2012,$3.39,90% (71%),"209,478 ±13,582",05:21 (02:30)
147,Goat Simulator,4/1/2014,$4.99,90% (62%),"1,709,934 ±38,684",06:15 (02:22)
16,Assetto Corsa,12/19/2014,$34.99,89% (85%),"224,458 ±14,059",35:47 (08:42)
40,Lone Survivor: The Director's Cut,4/23/2012,$9.89,89% (81%),"579,811 ±22,579",01:05 (00:21)
47,State of Decay,11/5/2013,Free,89% (79%),"1,026,882 ±30,021",17:21 (06:17)
139,Farming Simulator 15,10/30/2014,$23.99,89% (64%),"289,905 ±15,975",64:48 (25:12)
241,From The Depths,8/7/2014,$7.99,89% (N/A),"32,954 ±5,389",16:18 (03:46)
470,Creativerse,8/12/2014,$13.99,89% (N/A),"41,250 ±6,029",12:29 (05:18)
31,War Thunder,8/15/2013,Free,88% (82%),"5,709,383 ±70,093",41:22 (05:43)
34,RollerCoaster Tycoon 3: Platinum!,3/12/2008,$4.99,88% (81%),"543,400 ±21,860",13:12 (03:00)
88,Verdun,4/28/2015,$17.24,88% (72%),"243,585 ±14,645",09:21 (03:48)
23,Spore,12/19/2008,$9.99,87% (84%),"911,888 ±28,297",17:33 (07:07)
48,Tropico 3 - Steam Special Edition,10/20/2009,$2.49,87% (79%),"1,337,528 ±34,240",07:37 (01:02)
74,RollerCoaster Tycoon 2: Triple Thrill Pack,5/21/2014,$2.49,87% (74%),"106,929 ±9,706",08:56 (02:40)
188,Spintires,6/12/2014,$14.99,87% (N/A),"455,829 ±20,025",19:33 (08:16)
381,Breach & Clear,3/21/2014,$4.49,87% (N/A),"137,578 ±11,009",05:58 (01:57)
6,Homeworld Remastered Collection,2/25/2015,$19.24,86% (89%),"296,358 ±16,152",13:43 (06:00)
14,The Sims(TM) 3,1/27/2011,$14.99,86% (86%),"667,381 ±24,220",62:16 (19:43)
93,Surgeon Simulator,4/19/2013,$3.99,86% (71%),"1,388,918 ±34,888",03:28 (01:52)
313,Medieval Engineers,2/19/2015,$14.99,86% (N/A),"162,236 ±11,954",06:47 (02:06)
420,Mountain,8/18/2014,$0.99,86% (N/A),"173,067 ±12,346",07:52 (00:50)
59,F1 2013,10/3/2013,$12.49,85% (77%),"240,820 ±14,562",34:27 (08:55)
71,Star Conflict,2/27/2013,Free,85% (75%),"1,044,397 ±30,275",17:58 (01:37)
734,Robocraft,7/8/2014,Free,85% (N/A),"6,931,687 ±77,031",17:20 (02:18)
27,Universe Sandbox,4/29/2011,$4.99,84% (83%),"727,759 ±25,289",05:28 (00:48)
154,I am Bread,4/9/2015,$6.49,84% (61%),"177,676 ±12,509",02:32 (01:05)
63,Arma 2,6/29/2009,$4.41,83% (77%),"1,145,794 ±31,704",05:53 (00:34)
68,Reus,5/16/2013,$4.99,83% (75%),"767,166 ±25,962",04:44 (01:47)
168,The Guild II: Renaissance,7/28/2010,$1.99,83% (56%),"222,384 ±13,994",16:33 (05:41)
398,Knights and Merchants,10/14/2013,$6.99,83% (N/A),"583,959 ±22,660",02:46 (00:54)
457,Euro Truck Simulator,3/8/2013,$2.24,83% (N/A),"347,518 ±17,489",03:25 (00:51)
670,World of Guns: Gun Disassembly,5/21/2014,Free,83% (N/A),"1,147,407 ±31,726",04:03 (00:45)
676,Car Mechanic Simulator 2014,1/24/2014,$5.49,83% (N/A),"209,248 ±13,575",06:19 (02:49)
130,Age of Mythology: Extended Edition,5/8/2014,$7.49,82% (66%),"473,573 ±20,411",16:09 (05:02)
322,Exanima,4/29/2015,$14.99,82% (N/A),"13,827 ±3,491",05:10 (01:24)
334,Next Car Game: Wreckfest,1/14/2014,$20.09,82% (N/A),"261,560 ±15,175",05:06 (01:33)
586,DCS World,8/2/2013,Free,81% (N/A),"756,565 ±25,783",03:35 (00:02)
25,Project CARS,5/6/2015,$37.49,80% (83%),"170,072 ±12,239",16:49 (07:32)
43,Elite: Dangerous,4/2/2015,$53.99,80% (80%),"153,479 ±11,627",46:03 (17:58)
131,Strike Suit Zero,1/23/2013,$4.99,80% (66%),"451,681 ±19,934",03:03 (01:15)
314,Savage Lands,3/5/2015,$14.99,80% (N/A),"66,369 ±7,647",05:14 (01:47)
718,Pixel Puzzles: Japan,4/17/2014,$1.04,80% (N/A),"200,491 ±13,288",04:50 (02:56)
109,Spore: Galactic Adventures,6/23/2009,$9.99,79% (70%),"430,940 ±19,472",15:47 (03:37)
164,Urban Trial Freestyle,9/18/2013,$0.99,79% (58%),"152,097 ±11,575",02:26 (01:09)
366,Mabinogi,12/6/2012,Free,79% (N/A),"283,453 ±15,797",82:47 (01:17)
372,Battle Islands,8/6/2014,Free,79% (N/A),"377,937 ±18,237",09:33 (00:24)
461,Planet Explorers,3/11/2014,$18.74,79% (N/A),"239,206 ±14,513",10:34 (03:03)
476,Microsoft Flight Simulator X: Steam Edition,12/18/2014,$12.49,79% (N/A),"329,082 ±17,019",14:25 (01:54)
102,Democracy 3,10/14/2013,$6.24,78% (70%),"390,381 ±18,534",06:33 (03:14)
117,Men of War: Assault Squad 2,5/15/2014,$7.49,78% (68%),"212,474 ±13,679",36:23 (14:04)
343,SimCity 4 Deluxe,7/20/2010,$9.99,78% (N/A),"967,196 ±29,139",16:18 (02:54)
412,Bridge Constructor,10/16/2013,$3.49,78% (N/A),"195,652 ±13,126",04:13 (01:22)
740,Monster Loves You!,3/18/2013,$4.99,78% (N/A),"87,110 ±8,761",01:59 (01:17)
103,Starpoint Gemini 2,9/26/2014,$15.74,77% (70%),"136,426 ±10,962",13:56 (03:47)
361,Amazing World,8/7/2014,Free,77% (N/A),"356,505 ±17,713",02:09 (00:26)
