,Game,Day Since Release,Price,Userscore (Metascore),Owners,Playtime (Median)
1110,Isomer,342,999,999999,9448,101
1111,Haegemonia: Legions of Iron,413,124,999999,44707,26
1112,Pongo,38,319,999999,566,7
1113,Dwelvers,280,1124,999999,4609,542
1114,Clones,1673,249,999999,25810,203
1115,Pirates vs Corsairs: Davy Jones's Gold,94,299,999999,7605,232
1116,Big Brain Wolf,2051,199,999999,28806,150
1117,Shadows of War,167,399,999999,15671,149
1118,Eador. Genesis,612,119,999999,29037,821
1119,Cosmonautica,274,999,999999,11062,358
1120,Habitat,345,599,999999,22354,211
1121,Football Tactics,17,1104,999999,1131,443
1122,Robowars,237,224,999999,15671,57
1123,Devouring Stars,77,999,999999,566,8
1124,Toy Soldiers: Complete,475,499,999999,26502,517
1125,Star Wolves,1934,99,999999,59917,504
1126,Ancient Planet,135,468,999999,7835,539
1127,Deadlock - Planetary Conquest,238,349,999999,922,2
1128,The Happy Hereafter,378,119,999999,7605,330
1129,ROCKETSROCKETSROCKETS,48,779,999999,16823,112
1130,Revelations 2012,1151,84,999999,16823,108
1131,Broadsword : Age of Chivalry,34,1499,999999,566,243
1132,Infectonator : Survivors,430,899,999999,10831,430
1133,Biology Battle,148,99,999999,6453,9
1134,Blitzkrieg 3,43,2699,999999,5761,1333
1135,Mechs & Mercs: Black Talons,160,499,999999,3918,613
1136,Sid Meier's Ace Patrol,660,249,999999,410430,308
1137,Nightbanes,80,0,999999,75126,631
1138,Prophour23,239,499,999999,922,34
1139,The Terminal 2,314,499,999999,9909,318
1140,Games of Glory,23,0,999999,53695,43
1141,O.R.B.,462,74,999999,10601,104
1142,Cultures - 8th Wonder of the World,84,99,999999,2074,955
1143,HIS (Heroes In the Sky),107,0,999999,165693,105
1144,Prison Tycoon 3: Lockdown,2697,499,999999,31802,712
1145,1953: NATO vs Warsaw Pact,196,999,999999,6222,519
1146,Radiant Defense,342,499,999999,2672,1105
1147,Puzzler World 2,1333,49,999999,30650,1524
1148,"Warhammer 40,000: Regicide",45,1399,999999,20510,221
1149,DRAKERZ-Confrontation,395,0,999999,54156,121
1150,PeriAreion,119,1499,999999,4839,225
1151,Spectromancer,2318,999,999999,16131,1123
1152,Treasure Planet Battle at Procyon,114,669,999999,566,0
1153,ThreadSpace: Hyperbol,2898,499,999999,23045,32
1154,Wildlife Park 2 - Fantasy,336,79,999999,24428,19
1155,Elminage Gothic,273,299,999999,6222,1210
1156,Call of Cthulhu: The Wasted Land,469,249,999999,17975,350
1157,Dungeon Shooter 2,196,799,999999,668,11
1158,Commander : The Great War,328,1979,999999,5761,2301
1159,RECYCLE,288,1007,999999,8296,729
1160,The Magic Circle,36,1799,999999,1670,751
1161,QuestEvent,86,374,999999,3457,213
1162,Tomb of Tyrants,156,599,999999,5300,236
1163,"Warhammer 40,000: Dawn of War - Winter Assault",2872,441,999999,584650,423
1164,Rooks Keep,195,749,999999,9218,149
1165,You Must Build A Boat,14,334,999999,17975,540
1166,Smooth Operators,373,194,999999,26732,310
1167,Universal Combat CE,132,0,999999,62452,30
1168,Wildlife Park 2 - Crazy Zoo,336,279,999999,16592,200
1169,Ropeway Simulator 2014,191,1124,999999,1002,1139
1170,Lord of the Dark Castle,56,499,999999,2996,33
1171,Claustrophobia: The Downward Struggle,282,499,999999,23736,542
1172,War in a Box: Paper Tanks,349,499,999999,16131,218
1173,Crazy Plant Shop,318,249,999999,26041,216
1174,Yomi,41,1499,999999,4379,454
1175,Zombie Tycoon 2: Brainhov's Revenge,556,199,999999,42633,159
1176,The Race for the White House,167,1499,999999,2074,223
1177,Tiestru,302,999,999999,20049,51
1178,Ramayana,24,1019,999999,1131,0
1179,SuperPower 2 Steam Edition,426,499,999999,27423,2348
1180,Unium,83,133,999999,6222,126
1181,Dark Quest,148,349,999999,2304,500
1182,Arms Dealer,84,1299,999999,10140,313
1183,Planets Under Attack,994,999,999999,107159,243
1184,World War I,70,124,999999,1613,238
1185,Farm for your Life,367,999,999999,26271,937
1186,Pixel Puzzles 2: Anime,83,499,999999,668,1405
1187,We Slay Monsters,213,249,999999,1844,645
1188,Lethal League,295,937,98,149562,517
1189,Robot Roller-Derby Disco Dodgeball,119,749,98,41711,345
1190,Mount Your Friends,324,199,97,279996,257
1191,SpeedRunners,661,974,96,683974,834
1192,Sonic & All-Stars Racing Transformed,868,999,95,600090,816
1193,DiRT 3 Complete Edition,78,2399,92,992776,440
1194,TrackMania² Canyon,841,1199,91,122369,1007
1195,F1 2012,1004,999,91,305806,4627
1196,Gas Guzzlers Extreme,618,499,91,112229,401
1197,TrackMania² Stadium,728,599,90,221001,1228
1198,Assetto Corsa,181,3499,89,224458,3547
1199,Nidhogg,521,299,87,371945,229
1200,Poker Night at the Inventory,1669,124,86,806342,445
1201,F1 2013,623,1249,85,240820,3427
1202,Poker Night 2,783,124,84,494775,621
1203,Next Car Game: Wreckfest,520,2009,82,261560,506
1204,Zero Gear,1983,499,82,114303,311
1205,GRID 2,752,899,81,748039,1359
1206,OlliOlli,331,324,81,159471,146
1207,Project CARS,43,3749,80,170072,1649
1208,DiRT Showdown,1121,449,80,459747,551
1209,Urban Trial Freestyle,638,99,79,152097,226
1210,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,1303,999,79,264095,58
1211,GRID Autosport,357,1999,77,280687,1423
1212,Football Manager 2015,229,1699,74,7974470,23634
1213,F1 2014,245,1499,74,87801,3347
1214,NBA 2K15,255,2999,73,191503,9147
1215,WWE 2K15,51,3349,71,23275,2427
1216,SNOW,473,999,71,52542,1017
1217,Pro Evolution Soccer 2015,217,1799,68,124904,8114
1218,Epigenesis,321,124,66,50699,122
1219,Tony Hawk's Pro Skater HD,1003,489,65,99554,523
1220,The Golf Club,303,2009,64,25349,2415
1221,Copa Petrobras de Marcas,71,0,57,378859,29
1222,Football Superstars,944,0,55,288523,531
1223,RaceRoom Racing Experience,856,0,54,1638034,343
1224,theHunter,380,0,39,2481940,449
1225,NBA 2K13,961,1499,999999,103011,8305
1226,Out of the Park Baseball 15,420,1999,999999,11292,6835
1227,NBA 2K12,1353,999,999999,49086,8612
1228,DiRT 3,1487,2499,999999,969731,804
1229,F1 2010,1731,999,999999,69826,4415
1230,GT Legends,932,799,999999,80888,113
1231,F1 2011,1368,749,999999,55999,3744
1232,AaAaAA!!! - A Reckless Disregard for Gravity,2114,999,999999,169841,139
1233,iRacing,157,249,999999,8988,1423
1234,MotoGP™14,363,2999,999999,13136,1036
1235,RIDE: Game,83,3999,999999,11983,1621
1236,Virtua Tennis 4,1455,1499,999999,65678,1340
1237,Vertiginous Golf,43,999,999999,14518,104
1238,Jet Car Stunts,413,349,999999,25349,138
1239,Speedball 2 HD,560,99,999999,134813,232
1240,Cabela's� Hunting Expeditions,969,1469,999999,7605,418
1241,Smash Cars,1339,999,999999,6913,419
1242,STARWHAL,262,599,999999,28576,346
1243,Pro Wrestling X,212,999,999999,1002,2
1244,MXGP - The Official Motocross Videogame Compact,197,999,999999,1383,511
1245,Fast & Furious: Showdown,758,1469,999999,14288,1851
1246,IHF Handball Challenge 14,447,399,999999,5070,1913
1247,rFactor,108,2499,999999,4148,430
1248,FootLOL: Epic Fail League,428,249,999999,29728,200
1249,International Snooker,384,649,999999,26041,1907
1250,MX vs. ATV Supercross Encore,105,2249,999999,3226,544
1251,Quantum Rush Champions,196,699,999999,7374,148
1252,Corona MotorSport,97,549,999999,2996,23
1253,Moto Racer Collection,259,99,999999,7374,4
1254,Pro Cycling Manager 2012,1091,339,999999,19588,4918
1255,Ihf Handball Challenge 12,454,209,999999,10140,238
1256,SPORT1 Live : Duel,384,249,999999,668,330
1257,GTR - FIA GT Racing Game,996,699,999999,50238,134
1258,GTR 2 - FIA GT Racing Game,918,799,999999,70518,222
1259,R.B.I. Baseball 15,49,1999,999999,2535,909
1260,Dog Sled Saga,192,799,999999,2765,2757
1261,DanceWall Remix,295,449,999999,5070,154
1262,Total Extreme Wrestling,91,499,999999,2004,202
1263,Virtual Pool 4,38,2499,999999,1670,1244
1264,MXGP - The Official Motocross Videogame,447,1999,999999,20049,3051
1265,Martial Arts: Capoeira,371,149,999999,4148,8
1266,Tennis Elbow 2013,97,1874,999999,2765,2110
1267,Trials 2: Second Edition,2577,999,999999,113151,630
1268,BasketBelle,191,249,999999,2765,100
1269,F-1 drive,28,99,999999,1670,5
1270,Riptide GP2,468,699,999999,12905,249
1271,Formula Truck 2013,136,1339,999999,5070,45
1272,Altitude0: Lower & Faster,290,1329,999999,2004,13
1273,Natural Soccer,136,1124,999999,668,407
1274,TrackMania² Valley,714,1199,999999,61069,425
1275,F1 Chequered Flag,27,374,999999,566,2
1276,Shufflepuck Cantina Deluxe VR,559,499,999999,53234,347
1277,G-Ball,386,399,999999,16823,28
1278,Pro Cycling Manager 2013,728,679,999999,29037,5828
1279,Basketball Pro Management 2014,528,199,999999,7144,147
1280,Real Boxing™,351,499,999999,47242,457
1281,Cricket Revolution,2059,299,999999,20971,1752
1282,VRC PRO,86,4499,999999,3918,1520
1283,Eastside Hockey Manager: Early Access,84,1124,999999,17975,2727
1284,Sportsfriends,181,899,999999,2535,51
1285,Dovetail Games Fishing,226,1999,999999,14057,120
1286,NASCAR The Game: 2013,999999,0,999999,37333,1949
1287,Probably Archery,497,349,999999,59225,112
1288,Metal Drift,2065,499,999999,48164,243
1289,ClusterPuck 99,146,499,999999,5761,35
1290,Depth Hunter 2: Deep Dive,302,674,999999,45168,406
1291,Foosball - Street Edition,428,249,999999,10140,343
1292,MotorSport Revolution,154,1199,999999,1131,47
1293,MUD - FIM Motocross World Championship™,842,339,999999,8988,710
1294,Victory: The Age of Racing,493,1499,999999,26502,714
1295,Franchise Hockey Manager 2014,384,1999,999999,12214,2708
1296,MotoGP™14 Compact,209,999,999999,2074,121
1297,3D Mini Golf,20,599,999999,1670,302
1298,Motorbike,150,499,999999,2765,202
1299,Gridiron Solitaire,513,999,999999,2765,1139
1300,Pure Pool,322,649,999999,6453,225
1301,Carp Fishing Simulator,51,324,999999,1336,109
1302,Rugby 15,210,999,999999,5070,2536
1303,World of Mixed Martial Arts 3,91,499,999999,668,54
1304,Colin McRae Rally,323,209,999999,19819,236
1305,3D Ultra Minigolf Adventures Deluxe,2156,489,999999,8988,156
1306,Deer Hunt Legends,153,499,999999,1002,102
1307,New Star Soccer 5,994,1499,999999,26963,1227
1308,Super Indie Karts,43,1499,999999,566,0
1309,Volo Airsport,196,1039,999999,2765,51
1310,Don Bradman Cricket 14,358,4999,999999,7605,6039
1311,Teddy Floppy Ear - The Race,27,249,999999,1002,7
1312,Cricket Captain 2014,314,974,999999,9679,5303
1313,SEGA Bass Fishing,1567,399,999999,244737,54
1314,Karate Master 2 Knock Down Blow,90,499,999999,9448,351
1315,MotoGP™13,728,1999,999999,20049,1557
1316,Monster Trucks Nitro,2331,1999,999999,20971,423
1317,Tail Drift,232,999,999999,5761,19
1318,Beast Boxing Turbo,576,499,999999,27423,220
1319,Stock Car Extreme,127,2249,999999,11292,1044
1320,Total Pro Golf 3,328,499,999999,11062,144
1321,TableTop Cricket,113,999,999999,668,36
1322,Soccer Rage,16,974,999999,668,14
1323,Galactic Bowling,2431,1999,999999,3226,235
1324,Soccertron,98,599,999999,566,23
1325,Euro Truck Simulator 2,883,781,98,1818706,4830
1326,Don't Starve,999999,899,97,2710085,1818
1327,Gaokao.Love.100Days,19,899,97,14518,626
1328,Besiege,141,594,97,960974,742
1329,Don't Starve Together Beta,185,1199,97,3113832,1246
1330,This War of Mine,216,999,96,528190,1319
1331,Garry's Mod,3123,749,96,8993287,8839
1332,Car Mechanic Simulator 2015,56,1599,96,48394,1410
1333,Five Nights at Freddy's 3,108,639,95,188047,323
1334,Guns of Icarus Online,962,374,95,1100857,846
1335,Turbo Dismount,393,499,95,276078,747
1336,Rocksmith,975,749,94,177446,2304
1337,Five Nights at Freddy's,303,249,94,626361,315
1338,Hatoful Boyfriend,287,249,94,123982,348
1339,If My Heart Had Wings,206,749,94,21662,1315
1340,Contraption Maker,346,104,94,167306,252
1341,Viscera Cleanup Detail,440,799,94,173528,511
1342,Farming Simulator 2013,617,1399,93,456981,7218
1343,Rocksmith 2014,604,2699,93,380472,3512
1344,BeamNG.drive,20,2249,93,94715,1205
1345,Project Zomboid,587,1199,93,491088,1251
1346,IL-2 Sturmovik: 1946,2561,249,92,192195,1628
1347,Pacific Fighters,2561,249,92,4379,908
1348,LUFTRAUSERS,457,399,92,287370,317
1349,Q.U.B.E.,1280,0,92,184820,231
1350,Thief Gold,1122,349,91,689044,231
1351,Pinball FX2,769,0,91,337608,804
1352,The Forest,384,1004,91,1319323,909
1353,Viscera Cleanup Detail: Santa's Rampage,552,166,91,352818,232
1354,Goat Simulator,443,499,90,1709934,615
1355,Lone Survivor: The Director's Cut,1151,989,89,579811,105
1356,State of Decay,590,0,89,1026882,1721
1357,Farming Simulator 15,231,2399,89,289905,6448
1358,Creativerse,310,1399,89,41250,1229
1359,War Thunder,672,0,88,5709383,4122
1360,Spore,2372,999,87,911888,1733
1361,Spintires,371,1499,87,455829,1933
1362,The Sims(TM) 3,1603,1499,86,667381,6216
1363,Surgeon Simulator,790,399,86,1388918,328
1364,Mountain,304,99,86,173067,752
1365,Star Conflict,841,0,85,1044397,1758
1366,Robocraft,345,0,85,6931687,1720
1367,Universe Sandbox,1511,499,84,727759,528
1368,I am Bread,70,649,84,177676,232
1369,Euro Truck Simulator,832,224,83,347518,325
1370,World of Guns: Gun Disassembly,393,0,83,1147407,403
1371,Car Mechanic Simulator 2014,510,549,83,209248,619
1372,Exanima,50,1499,82,13827,510
1373,DCS World,685,0,81,756565,335
1374,Strike Suit Zero,876,499,80,451681,303
1375,Savage Lands,105,1499,80,66369,514
1376,Pixel Puzzles: Japan,427,104,80,200491,450
1377,Spore: Galactic Adventures,2186,999,79,430940,1547
1378,Mabinogi,924,0,79,283453,8247
1379,Planet Explorers,464,1874,79,239206,1034
1380,Microsoft Flight Simulator X: Steam Edition,182,1249,79,329082,1425
1381,Bridge Constructor,610,349,78,195652,413
1382,Monster Loves You!,822,499,78,87110,159
1383,Starpoint Gemini 2,265,1574,77,136426,1356
1384,Amazing World,315,0,77,356505,209
1385,Receiver,780,199,77,660468,120
1386,Survival: Postapocalypse Now,63,449,76,58073,733
1387,Pinball Arcade,591,0,74,406052,501
1388,OMSI 2,554,1749,74,64756,8027
1389,Sparkle 2 Evo,602,74,73,117760,132
1390,Pixel Piracy,322,349,72,539712,617
1391,Among Ripples,147,0,72,295667,14
1392,Enforcer: Police Crime Action,237,679,71,26963,628
1393,Interstellar Marines,716,949,71,220771,242
1394,Reign Of Kings,99,1199,70,303963,2922
1395,Train Simulator 2015,273,1499,69,716237,5658
1396,Life is Feudal: Your Own,272,2679,69,203717,4623
1397,theHunter: Primal,79,1349,69,71900,2139
1398,Construction-Simulator 2015,212,1799,67,116607,1748
1399,From Dust,1401,899,66,421031,519
1400,Train Fever,287,1189,65,82731,4026
1401,Miscreated,231,949,65,54386,321
1402,The Four Kings Casino and Slots,17,0,64,61530,426
1403,Cities XL Platinum,862,999,63,457672,852
1404,ACE COMBAT™ ASSAULT HORIZON Enhanced Edition,875,679,61,170072,702
1405,Ampu-Tea,384,74,61,51160,122
1406,State of Decay: Year-One,52,899,58,23506,2659
1407,Depression Quest,311,0,57,176524,48
1408,Red Crucible: Firestorm,20,0,55,259947,113
1409,The Dead Linger,629,1499,50,55077,335
1410,Nether,378,399,49,628666,1006
1411,Ship Simulator Extremes,1756,499,49,164310,1508
1412,Infestation: Survivor Stories,913,194,48,993928,4908
1413,Kinetic Void,209,499,44,120064,450
1414,Face of Mankind,336,749,39,328160,218
1415,X Rebirth,580,1359,31,163850,3403
1416,Cities XXL,133,2679,24,36641,1307
1417,Airport Simulator 2014,546,249,12,51390,321
1418,Silent Hunter III,2561,599,999999,92641,1821
1419,Thief 2,1122,349,999999,370332,409
1420,Startopia,616,174,999999,160623,408
1421,B-17 Flying Fortress: The Mighty 8th,231,349,999999,8757,9
1422,Silent Hunter: Wolves of the Pacific,2561,599,999999,59917,1539
1423,0RBITALIS,21,669,999999,32263,117
1424,Wings of Prey,1987,1999,999999,140574,2342
1425,The Sims(TM) Medieval,1483,749,999999,62913,2556
1426,Rise of Flight: Channel Battles Edition,651,0,999999,90336,248
1427,Bad Mojo Redux,350,149,999999,15440,51
1428,Incredipede,822,249,999999,163619,122
1429,IL-2 Sturmovik: Battle of Stalingrad,239,2999,999999,21201,1356
1430,Comanche 4,2191,499,999999,16362,252
1431,Sunset,28,999,999999,3005,519
1432,Dyscourse,85,974,999999,2765,246
1433,Blazing Angels 2: Secret Missions of WWII,2592,599,999999,19127,445
1434,MX vs. ATV Unleashed,63,499,999999,1844,107
1435,Star Wars Starfighter,2171,599,999999,475417,144
1436,Evochron Mercenary,1249,1674,999999,91258,710
1437,Cities in Motion,1577,499,999999,241280,2040
1438,Echelon,350,119,999999,5070,103
1439,Take On Helicopters,1330,399,999999,277922,349
1440,Tycoon City: New York,2654,499,999999,18897,1031
1441,Tom Clancy's H.A.W.X. 2,1669,999,999999,40098,747
1442,Blazing Angels: Squadrons of WWII,2592,599,999999,19588,131
1443,Air Conflicts - Secret Wars,1357,499,999999,66139,555
1444,Echelon: Wind Warriors,314,119,999999,4379,53
1445,Storm,721,339,999999,17745,139
1446,Wings Over Europe,384,149,999999,5070,50
1447,Bientôt l'été,862,499,999999,23275,35
1448,Bus Driver,380,339,999999,139422,58
1449,Dream Pinball 3D,1002,699,999999,70748,125
1450,Rig 'n' Roll,1805,199,999999,57612,342
1451,Wings! Remastered Edition,244,374,999999,8988,330
1452,IL-2 Sturmovik: Cliffs of Dover,1430,599,999999,206483,1627
1453,Off-Road Drive,1358,199,999999,53464,826
1454,Orbital Gear,315,99,999999,97941,150
1455,Hotel Giant 2,1968,271,999999,24428,401
1456,SOL: Exodus,1240,799,999999,58765,118
1457,Fair Strike,56,259,999999,1336,42
1458,Miner Wars 2081,932,399,999999,78353,150
1459,Hospital Tycoon,2316,124,999999,66369,335
1460,Lucius II,125,1399,999999,14979,549
1461,Starpoint Gemini,1218,349,999999,52312,827
1462,Air Conflicts: Vietnam,624,999,999999,21432,419
1463,Demolition Master 3D,433,209,999999,7374,7
1464,Driving School Simulator,266,509,999999,4379,230
1465,Air Conflicts: Pacific Carriers,1000,749,999999,113151,635
1466,Combat Wings: Battle of Britain,2073,199,999999,73283,302
1467,Bloop,153,124,999999,11753,210
1468,Bridge Project,812,999,999999,141496,445
1469,Paragon,402,1499,999999,3918,229
1470,CINEVEO - Virtual Reality Cinema,55,999,999999,2004,9
1471,Ski Park Tycoon,135,999,999999,2304,127
1472,Roller Coaster Rampage,1094,499,999999,26963,202
1473,MiG-29 Fulcrum,2208,499,999999,11522,143
1474,Downpour,35,299,999999,4609,101
1475,Victorian Admirals Anthology,492,299,999999,2304,114
1476,Sid Meier's Colonization (Classic),252,349,999999,11983,1223
1477,Movie Studio Boss: The Sequel,183,299,999999,1844,205
1478,Eisenbahn X,10,3999,999999,1336,221
1479,Fading Hearts,498,1319,999999,17745,258
1480,Demolition Company Gold,1414,799,999999,14749,618
1481,A.I.M.2 Clan Wars,392,99,999999,17975,221
1482,AX:EL,267,649,999999,13136,142
1483,Star Trek™: 25th Anniversary,42,599,999999,2535,103
1484,All Aspect Warfare,2131,999,999999,2004,107
1485,East Tower - Takashi,22,449,999999,668,0
1486,Selfie: Sisters of the Amniotic Lens,41,374,999999,1002,9
1487,Farming Giant,589,249,999999,32954,743
1488,Sunrider Academy,64,1799,999999,7144,1412
1489,Firefighters 2014,393,999,999999,25580,1013
1490,The Spatials,80,870,999999,14288,929
1491,European Ship Simulator,119,679,999999,16131,510
1492,Tachyon: The Fringe,2191,499,999999,15671,835
1493,Farming World,412,99,999999,45629,319
1494,Luna's Wandering Stars,34,399,999999,1670,331
1495,Airline Tycoon Deluxe,216,749,999999,6683,843
1496,Nameless ~The one thing you must recall~,176,2999,999999,1152,1305
1497,Parkan 2,428,99,999999,44246,211
1498,Cat Goes Fishing,150,524,999999,20740,321
1499,Meadowland,239,199,999999,2004,54
1500,Trainz: Settle & Carlisle,1721,659,999999,31572,234
1501,Texas Cheat'Em,2138,999,999999,2535,204
1502,Diaper Dash,2136,999,999999,3918,654
1503,Spaceforce Rogue Universe HD,23,389,999999,1131,507
1504,The Battle of Sol,323,1499,999999,14057,45
1505,Galactic Command Echo Squad SE,465,499,999999,2535,19
1506,Domestic Dog Simulator,69,149,999999,14057,104
1507,World Basketball Tycoon,577,149,999999,13827,157
1508,Agricultural Simulator 2011: Extended Edition,1576,149,999999,44246,448
1509,Virtual Villagers 2: The Lost Children,2593,999,999999,7144,1302
1510,X-Plane 10 Global - 64 Bit,339,4199,999999,51621,1917
1511,Luxuria Superbia,506,349,999999,39868,26
1512,Homebrew - Vehicle Sandbox,216,899,999999,25349,618
1513,Fortune's Tavern - The Fantasy Tavern Simulator!,105,499,999999,13827,309
1514,Skyscraper Simulator,605,209,999999,42633,214
1515,F-19 Stealth Fighter,78,349,999999,1336,22
1516,Hacker Evolution,1738,199,999999,186434,204
1517,Songs2See Editor,569,999,999999,2304,127
1518,Trainz Simulator 12,1471,749,999999,158088,3356
1519,18 Wheels of Steel: Extreme Trucker 2,41,1999,999999,668,214
1520,Aviator - Bush Pilot,226,249,999999,4379,118
1521,Jane's Advanced Strike Fighters,1197,499,999999,32493,236
1522,Fleet Defender: The F-14 Tomcat Simulation,231,349,999999,566,6
1523,Real World Racing,559,179,999999,72131,151
1524,World Basketball Manager 2010,1884,74,999999,24889,32
1525,Steel Armor - Blaze of War,105,2999,999999,1697,54
1526,TRIP:Steam Edition,163,699,999999,3687,0
1527,Fish Tycoon,2593,999,999999,8066,1845
1528,The Good Life,209,249,999999,5070,131
1529,Social Justice Warriors,111,479,999999,2996,125
1530,Lunch Truck Tycoon,21,99,999999,2338,147
1531,Ensign-1,217,999,999999,8988,38
1532,Governor of Poker 2,1711,999,999999,11753,4434
1533,Gender Bender DNA Twister Extreme,286,2499,999999,2535,305
1534,Star Trek™: Starfleet Academy,41,599,999999,3005,48
1535,Ski-World Simulator,212,499,999999,7374,6
1536,Infinifactory,150,2249,999999,11753,1128
1537,Aquadelic GT,85,499,999999,1844,116
1538,Taxi,300,129,999999,10601,227
1539,Virtual Families,2234,999,999999,2765,3428
1540,Castaway Paradise,30,749,999999,566,0
1541,Global ATC Simulator,220,2344,999999,2338,4920
1542,Warehouse and Logistics Simulator,478,249,999999,33876,46
1543,A-Train 8,638,1999,999999,19358,318
1544,Task Force 1942: Surface Naval Action in the South Pacific,224,349,999999,1844,24
1545,Windborne,486,2999,999999,9679,2151
1546,TIS-100,17,699,999999,11983,608
1547,PT Boats: South Gambit,1329,499,999999,9679,150
1548,LogicBots,269,1499,999999,2672,232
1549,The Little Crane That Could,52,599,999999,1336,207
1550,Zen Fish SIM,273,0,999999,1002,14
1551,Moon Breakers,1127,0,999999,179520,310
1552,WarBirds - World War II Combat Aviation,44,1499,999999,566,120
1553,Ski Region Simulator,503,799,999999,22354,655
1554,Fly in the House,104,499,999999,1670,35
1555,Prison Tycoon 4: Supermax,999999,1249,999999,17975,246
1556,new DREAMFLIGHT VR:For Oculus Rift,28,449,999999,566,19
1557,Bridge Constructor Playground,351,349,999999,57843,143
1558,Hospital Manager,85,299,999999,11062,225
1559,World Of Leaders,183,499,999999,4007,32
1560,Kiai Resonance,56,399,999999,2996,133
1561,Professional Lumberjack 2015,105,1339,999999,4379,319
1562,Spore: Creepy & Cute Parts Pack,2372,999,999999,397064,504
1563,Spirited Heart Deluxe,385,999,999999,10370,345
1564,The Graveyard,2292,124,999999,20049,2037
1565,Ship Simulator: Maritime Search and Rescue,352,1079,999999,13136,907
1566,Kitty Powers' Matchmaker,57,669,999999,10140,629
1567,BossConstructor,226,1205,999999,2004,355
1568,Puddle,951,271,999999,108311,635
1569,Farm Machines Championships 2014,461,299,999999,32954,145
1570,Scania Truck Driving Simulator,476,407,999999,176755,221
1571,One Manga Day,45,0,999999,44016,19
1572,GameGuru,30,899,999999,9218,1207
1573,Centration,440,1499,999999,2338,16
1574,This Starry Midnight We Make,17,899,999999,1336,29
1575,aerofly FS,974,1999,999999,8988,808
1576,BOMB,318,1199,999999,1670,102
1577,Crash Drive 2,21,249,999999,2074,137
1578,Adventurer Manager,196,249,999999,25349,1346
1579,dUpLicity ~Beyond the Lies~,161,1124,999999,11292,154
1580,Airport Simulator 2015,57,1124,999999,2074,200
1581,Agricultural Simulator 2013 Steam Edition,741,249,999999,83884,420
1582,Take On Mars,686,1529,999999,40790,631
1583,Rising Angels: Reborn,279,0,999999,105776,55
1584,Mad Riders,1114,599,999999,20971,220
1585,Armored Fist 3,2191,499,999999,10601,30
1586,Railroad X,374,1999,999999,1336,1754
1587,Reload,125,499,999999,6222,32
1588,Signs of Life,507,749,999999,38485,847
1589,Airport Firefighters - The Simulation,36,1699,999999,2535,148
1590,3d Bridges,87,1299,999999,566,16
1591,Trucks & Trailers,379,237,999999,131817,47
1592,Project Freedom,2073,89,999999,18897,119
1593,Make it indie!,78,49,999999,22814,57
1594,Pro Cycling Manager 2014,364,1499,999999,20280,6541
1595,Backstage Pass,384,2999,999999,3918,1403
1596,Truck Mechanic Simulator 2015,48,1499,999999,1844,254
1597,aerofly RC 7,224,3199,999999,2765,1105
1598,F-22 Lightning 3,2191,499,999999,13136,218
1599,Carnivores: Dinosaur Hunter Reborn,22,1499,999999,4609,441
1600,Post Master,468,99,999999,44938,131
1601,Sid Meier's Covert Action (Classic),252,349,999999,12675,236
1602,World of Diving,296,1199,999999,13366,141
1603,Grass Simulator,78,339,999999,7144,136
1604,World of Zoo,2057,749,999999,54617,639
1605,MadOut,13,1499,999999,566,0
1606,World of Subways 4 – New York Line 7,87,2344,999999,2535,600
1607,Supreme,160,749,999999,2074,232
1608,Independence War 2: Edge of Chaos,42,299,999999,566,0
1609,Extreme Roads USA,377,249,999999,1844,33
1610,Ride 'em Low,591,209,999999,15440,39
1611,Songs2See Game,569,999,999999,2996,200
1612,Logistics Company,225,1004,999999,2535,337
1613,Damage Inc,1024,3999,999999,4148,632
1614,Infinite Game Works Episode 0,373,1299,999999,1131,152
1615,Angle of Attack,2131,749,999999,2004,5
1616,Dive to the Titanic,1644,499,999999,4148,243
1617,Agricultural Simulator: Historical Farming,589,249,999999,93102,45
1618,Farming Simulator 2011,1693,799,999999,86649,5852
1619,East Tower - Akio,52,374,999999,4148,101
1620,Woodcutter Simulator 2013,546,249,999999,46781,54
1621,Fireworks Simulator,204,749,999999,6913,324
1622,D Series OFF ROAD Driving Simulation,30,1799,999999,668,12
1623,Construction Machines 2014,447,349,999999,34107,47
1624,Beach Resort Simulator,202,1499,999999,2765,534
1625,One Late Night: Deadline,178,749,999999,6453,412
1626,Island Flight Simulator,62,699,999999,668,58
1627,Bridge Constructor Medieval,276,349,999999,47012,239
1628,Trainz: Classic Cabon City,1751,659,999999,29267,140
1629,Nightfall: Escape,38,1199,999999,566,242
1630,Towtruck Simulator 2015,464,249,999999,31341,44
1631,Bridge It (plus),577,299,999999,43555,341
1632,Draft Day Sports Pro Basketball 4,206,1399,999999,566,26
1633,Roadside Assistance Simulator,266,824,999999,2304,132
1634,Chocolatier: Decadence by Design,2136,999,999999,5531,1041
1635,Turmoil,13,999,999999,2672,422
1636,A-Train 9,391,2999,999999,3457,3220
1637,Virtual Villagers: A New Home,2593,999,999999,6222,1116
1638,Masters of the World,498,4999,999999,8296,3232
1639,A-Train 9 V3.0 : Railway Simulator,251,4199,999999,2765,636
1640,Fermi's Path,59,494,999999,6683,240
1641,Nicole (otome version),328,949,999999,14057,415
1642,SimpleRockets,15,639,999999,4379,122
