,Game,Day Since Release,Price,Userscore (Metascore),Owners,Playtime (Median)
121,My Lands,275,0,90,206252,2048
122,Super Sanctum TD,770,135,90,197265,327
123,Darkest Dungeon,135,1799,90,376785,1421
124,Dominions 4,560,2099,90,34337,5142
125,Sid Meier's Civilization III: Complete,3158,124,89,836531,3227
126,DEFCON,3184,149,89,626822,227
127,L.A. Noire,1318,599,89,1189119,1320
128,Europa Universalis III,2325,374,89,438776,4849
129,Anomaly Warzone Earth,1532,399,89,746426,223
130,Men of War,2234,99,89,289444,2144
131,Magic: The Gathering - Duels of the Planeswalkers 2013,1093,999,89,399599,4216
132,The Bridge,846,169,89,371945,200
133,Space Run,370,374,89,108311,804
134,From The Depths,315,799,89,32954,1618
135,Supreme Commander,1359,749,88,733059,811
136,RollerCoaster Tycoon 3: Platinum!,2654,499,88,543400,1312
137,Worms Reloaded,1757,499,88,718080,1132
138,Revenge of the Titans,1555,699,88,468504,304
139,Wargame: Red Dragon,427,1999,88,326777,4519
140,Verdun,51,1724,88,243585,921
141,Toribash,398,0,88,1517740,450
142,Organ Trail: Director's Cut,821,299,88,371023,414
143,Chip,419,69,88,162236,234
144,AI War: Fleet Command,2066,249,87,253264,938
145,Tropico 3 - Steam Special Edition,2067,249,87,1337528,737
146,Sang-Froid - Tales of Werewolves,804,299,87,242202,317
147,Supreme Commander 2,1935,649,87,1079886,3829
148,RollerCoaster Tycoon 2: Triple Thrill Pack,393,249,87,106929,856
149,Worms Revolution,981,374,87,721998,821
150,Sword of the Stars: The Pit,999999,259,87,214779,815
151,Worms Ultimate Mayhem,1359,374,87,500306,439
152,Prime World: Defenders,743,299,87,98171,1645
153,Breach & Clear,454,449,87,137578,558
154,Yet Another Zombie Defense,447,49,87,288062,147
155,Blood Bowl: Chaos Edition,980,1499,87,182977,4705
156,Homeworld Remastered Collection,113,1924,86,296358,1343
157,Endless Legend,273,2344,86,436932,2154
158,Natural Selection 2,961,699,86,1576504,1556
159,Baldur's Gate II: Enhanced Edition,580,999,86,251881,3450
160,Endless Space,1079,1019,86,751956,3042
161,Nuclear Dawn,1361,249,86,367797,602
162,Warlock - Master of the Arcane,1136,624,86,789520,2035
163,Dwarfs F2P,973,0,86,361345,153
164,Medieval Engineers,119,1499,86,162236,647
165,Galcon 2,195,0,86,155092,222
166,The Basement Collection,1021,399,86,373789,251
167,Wasteland 2,273,1999,85,430019,3447
168,Expeditions: Conquistador,749,999,85,115455,951
169,Quantum Conundrum,1092,224,85,213627,449
170,X3: Terran Conflict,2436,499,85,485787,4217
171,Magicka: Wizard Wars,51,0,85,2544161,330
172,Scribblenauts Unmasked,632,999,85,134352,636
173,Might & Magic: Duel of Champions,588,0,84,473804,2528
174,Command and Conquer: Red Alert 3,2352,999,84,529112,1541
175,Hearts of Iron III,2141,249,84,360192,4855
176,Primal Carnage,962,159,84,306498,1138
177,Infinity Wars - Animated Trading Card Game,286,0,84,436010,1118
178,The Red Solstice,343,1799,84,43555,754
179,Kenshi,999999,1999,84,111307,1729
180,Arma 2,2180,441,83,1145794,553
181,Mind: Path to Thalamus,317,584,83,69135,321
182,Reus,763,499,83,767166,444
